Player,Result,Temp,Pressure,Humidity,WindSpeed
Djokovic N.,Win2,1.257,1010.39,80,0.86
Djokovic N.,Win2,29.257,1022.15,88,2.89
Djokovic N.,Win2,13.257,1006.58,60,2.51
Djokovic N.,Win2,29.757,1023.04,53,2.31
Djokovic N.,Win2,25.032,1033.9,65,5.76
Djokovic N.,Win2,12.582,953.73,75,2.04
Djokovic N.,Win2,17.182,1029.2,95,3.16
Djokovic N.,Win2,11.957,941.81,42,0.71
Djokovic N.,Win2,10.632,1008.61,99,4.21
Djokovic N.,Win2,16.457,1008.61,36,1.41
Djokovic N.,Win2,11.732,1016.55,67,5.69
Djokovic N.,Win2,5.707,1005.69,81,11.24
Djokovic N.,Win3,23.932,1035.28,100,6.26
Djokovic N.,Win3,10.632,1008.61,99,4.21
Djokovic N.,Win3,11.982,1020.12,84,6.56
Djokovic N.,Win3,11.732,1016.55,67,5.69
Nadal R.,Win2,1.257,1010.39,80,0.86
Nadal R.,Win2,17.182,1029.2,95,3.16
Nadal R.,Win2,13.257,1006.58,60,2.51
Nadal R.,Win2,8.482,962.08,99,0.94
Nadal R.,Win2,25.032,1033.9,65,5.76
Nadal R.,Win2,12.582,953.73,75,2.04
Nadal R.,Win2,8.382,1024.82,95,2.81
Nadal R.,Win2,20.857,1030.9,83,3.64
Nadal R.,Win2,24.132,1019.31,86,1.51
Nadal R.,Win2,11.957,941.81,42,0.71
Nadal R.,Win2,10.457,967.02,79,1.84
Nadal R.,Win2,16.457,1008.61,36,1.41
Nadal R.,Win2,11.732,1016.55,67,5.69
Nadal R.,Win2,20.207,1013.55,100,1.04
Nadal R.,Win2,10.632,1008.61,99,4.21
Nadal R.,Win2,12.832,947.57,97,2.94
Nadal R.,Win2,5.707,1005.69,81,11.24
Nadal R.,Win3,23.932,1035.28,100,6.26
Nadal R.,Win3,10.632,1008.61,99,4.21
Nadal R.,Win3,11.982,1020.12,84,6.56
Nadal R.,Win3,11.732,1016.55,67,5.69
Nadal R.,Lose2,11.982,1020.12,84,6.56
Berdych T.,Win2,29.257,1022.15,88,2.89
Berdych T.,Win2,17.182,1029.2,95,3.16
Berdych T.,Win2,13.257,1006.58,60,2.51
Berdych T.,Win2,29.757,1023.04,53,2.31
Berdych T.,Win2,25.032,1033.9,65,5.76
Berdych T.,Win2,12.582,953.73,75,2.04
Berdych T.,Win2,11.182,1021.98,73,3.79
Berdych T.,Win2,11.957,941.81,42,0.71
Berdych T.,Win2,10.632,1008.61,99,4.21
Berdych T.,Win2,16.457,1008.61,36,1.41
Berdych T.,Win2,6.582,1037.22,100,4.89
Berdych T.,Win2,12.832,947.57,97,2.94
Berdych T.,Win2,10.582,1026.44,100,3.51
Berdych T.,Win2,23.982,1018.58,100,1.54
Berdych T.,Win3,23.932,1035.28,100,6.26
Berdych T.,Win3,10.632,1008.61,99,4.21
Berdych T.,Win3,11.982,1020.12,84,6.56
Berdych T.,Win3,11.732,1016.55,67,5.69
