Player,Frequency
Djokovic N.,88
Nadal R.,80
Berdych T.,79
Murray A.,78
Wawrinka S.,73
Federer R.,72
Bautista R.,70
Anderson K.,70
Ferrer D.,69
Nishikori K.,68
Isner J.,68
Tomic B.,64
Johnson S.,64
Sousa J.,64
Karlovic I.,63
Simon G.,63
Thiem D.,62
Gasquet R.,60
Troicki V.,60
Lopez F.,58
Goffin D.,58
Mannarino A.,58
Garcia-Lopez G.,57
Bellucci T.,56
Fognini F.,55
Muller G.,55
Dimitrov G.,54
Chardy J.,54
Cilic M.,54
Bolelli S.,53
Cuevas P.,53
Kohlschreiber P.,52
Klizan M.,51
Coric B.,51
Vesely J.,51
Sock J.,51
Monfils G.,51
Dolgopolov O.,51
Verdasco F.,50
Seppi A.,50
Giraldo S.,47
Rosol L.,47
Raonic M.,47
Mayer L.,47
Tsonga J.W.,47
Pospisil V.,46
Stakhovsky S.,45
Baghdatis M.,45
Haider-Maurer A.,45
Querrey S.,44
Kyrgios N.,43
Istomin D.,43
Robredo T.,43
Young D.,43
Janowicz J.,42
Paire B.,42
Monaco J.,40
Ramos-Vinolas A.,39
Kukushkin M.,39
Groth S.,39
Carreno-Busta P.,39
Lu Y.H.,38
Andujar P.,38
Almagro N.,38
Lajovic D.,37
Gabashvili T.,37
Granollers M.,35
Gulbis E.,35
Bedene A.,34
Haase R.,34
Estrella Burgos V.,34
Youzhny M.,33
Delbonis F.,33
Jaziri M.,32
Schwartzman D.,31
Becker B.,31
Zverev A.,31
Gimeno-Traver D.,31
Berankis R.,30
Kokkinakis T.,28
Pouille L.,26
Nieminen J.,26
Lorenzi P.,25
Brown D.,25
Kudla D.,22
Souza J.,22
Ilhan M.,22
Struff J.L.,22
Mahut N.,21
Melzer J.,20
Kuznetsov An.,20
Duckworth J.,20
Others <20,19
Ito T.,19
Dodig I.,19
Matosevic M.,19
Mathieu P.H.,19
Darcis S.,19
Roger-Vasselin E.,18
Krajicek A.,18
Falla A.,18
Chung H.,18
Soeda G.,18
Smyczek T.,18
Rublev A.,17
Stepanek R.,17
Sela D.,16
Berrer M.,16
Berlocq C.,16
Dzumhur D.,16
Montanes A.,15
Zverev M.,15
Krajinovic F.,14
Gonzalez A.,14
Millman J.,14
De Schepper K.,14
Lacko L.,14
Ward J.,13
Harrison R.,13
Golubev A.,13
Kavcic B.,13
Mayer F.,13
Sijsling I.,13
Ram R.,13
Vanni L.,13
Hewitt L.,12
Basilashvili N.,12
Donaldson J.,11
Ymer E.,11
Haas T.,11
Bemelmans R.,11
Herbert P.H,11
Tipsarevic J.,10
Donskoy E.,10
Rola B.,10
Marchenko I.,10
Smith J.P.,8
Copil M.,8
Sugita Y.,8
Nishioka Y.,8
Melzer G.,7
Ebden M.,7
De Bakker T.,7
Robert S.,7
Edmund K.,6
Zeballos H.,6
Kamke T.,6
Benneteau J.,6
Bachinger M.,6
Fish M.,6
Tiafoe F.,6
Daniel T.,6
Bagnis F.,6
Arguello F.,6
Gonzalez M.,6
Albot R.,5
Nedovyesov A.,5
Pella G.,5
Menendez-Maceiras A.,5
Chiudinelli M.,4
Del Potro J.M.,4
Olivo R.,4
Hernych J.,4
Moriya H.,4
Gojowczyk P.,4
Arnaboldi A.,4
Cecchinato M.,4
Zhang Ze,4
Dancevic F.,3
Clezar G.,3
Bai Y.,3
Novak D.,3
Carballes Baena R.,3
Brands D.,3
Munar J.,3
Dutra Silva R.,3
Lindell C.,3
Jarry N.,3
Fabbiano T.,3
Trinker B.,3
Wu D.,3
Millot V.,3
Ouahab L.,3
Coppejans K.,3
Reister J.,3
Venus M.,3
Kubot L.,3
Zopp J.,2
Machado R.,2
De Greef A.,2
Herbert P.H.,2
Fratangelo B.,2
Gombos N.,2
Andreozzi G.,2
Demoliner M.,2
Ilkel C.,2
Fucsovics M.,2
Przysiezny M.,2
Delic M.,2
Hamou M.,2
Kudryavtsev A.,2
Devvarman S.,2
Elias G.,2
Ramanathan R.,2
Mina G.,2
Kozlov S.,2
Karatsev A.,2
Gomez A.,2
Mektic N.,2
Sarkissian A.,2
Laaksonen H.,2
Androic T.,2
Riba P.,2
Saville L.,2
Galan D.E.,2
Lokoli L.,2
Hanescu V.,2
Fritz T.,2
Marterer M.,2
Pavic A.,2
Uchiyama Y.,2
Broady L.,2
Zhang Zh.,2
Donati M.,2
Halys Q.,2
Paul T.,1
Djere L.,1
Rubin N.,1
Statham J.,1
Guez D.,1
Eriksson M.,1
Desein N.,1
Thompson J.,1
Ymer M.,1
Sidorenko A.,1
Giustino L.,1
Teixeira M.,1
Niki T.,1
Gigounon G.,1
Shane R.,1
Zhang Z.,1
Fischer M.,1
Molteni A.,1
Bossel A.,1
Safwat M.,1
Bhambri Y.,1
Lestienne C.,1
Ali Mutawa J.M.,1
Dustov F.,1
Klein B.,1
Vega Hernandez D.,1
Lapentti G.,1
Hemery C.,1
Quigley E.,1
Williams R.,1
Pavic M.,1
Prashanth V.,1
Peliwo F.,1
Trevisan M.,1
Ledovskikh M.,1
Balleret B.,1
Mcgee J.,1
King D.,1
Gaio F.,1
Cervantes I.,1
Miedler L.,1
Beck A.,1
Bester P.,1
Huta Galung J.,1
Russell M.,1
Martin F.,1
Silva F.,1
Kravchuk K.,1
Novikov D.,1
Eubanks C.,1
Veic A.,1
Barrientos N.,1
Wang J.,1
Bolt A.,1
Escobar G.,1
Ghem A.,1
Shyla Y.,1
Garza D.,1
Idmbarek Y.,1
Puetz T.,1
